a little	một chút
aid	sự giúp đỡ; thêm vào, phụ vào
aim	sự nhắm , mục tiêu, ý định; nhắm, tập trung, hướng vào
air	không khí, bầu không khí, không gian
air supported structure	kết cấu đỡ bằng khí cầu
air test	sự thử độ kín; sự thử bằng không khí nén 
air-entrained concrete 	bê tông có phụ gia tạo bọt 
air-placed concrete 	bê tông phun 
aircraft	máy bay, khí cầu
alarm	báo động, báo nguy
alarming	làm lo sợ, làm hốt hoảng, làm sợ hãi
alcohol	rượu cồn
alcoholic	rượu; người nghiện rượu
alive	sống, vẫn còn sống, còn tồn tại
all	tất cả
all right	tốt, ổn, khỏe mạnh; được
allied	lien minh, đồng minh, thông
allow	cho phép, để cho
allowable load 	tải trọng cho phép 
alloy steel	thép hợp kim
alloy(ed) steel	thép hợp kim
ally	nước đồng minh, liên minh; liên kết, lien minh, kết thông gia
alone	cô đơn, một mình
along	dọc theo, theo; theo chiều dài, suốt theo
alongside	sát cạnh, kế bên, dọc theo
aloud	lớn tiếng, to tiếng
alphabet	bảng chữ cái, bước đầu, điều cơ bản
alphabetical	thuộc bảng chứ cái
alphabetically	theo thứ tự abc
already	đã, rồi, đã… rồi
also	cũng, cũng vậy, cũng thế
alter	thay đổi, biến đổi, sửa đổi
alternate load 	tải trọng đổi dấu 
alternate-stress test	sự thử ứng suất đổi đầu 
alternative	sự lựa chọn; lựa chọn
although	mặc dù, dẫu cho
altitude test	sự thử nghiệm trên cao; sự thử nghiệm độ cao 
altogether	hoàn toàn, hầu như; nói chung
always	luôn luôn
amaze	làm ngạc nhiên, làm sửng sốt
amazed	kinh ngạc, sửng sốt
amazing	kinh ngạc, sửng sốt
ambition	hoài bão, khát vọng
ambulance	xe cứu thương, xe cấp cứu
among	giữa, ở giữa
amount	số lượng, số nhiều; lên tới
amuse	làm cho vui, thích, làm buồn cười
amused	vui thích
amusing	vui thích
analyse	phân tích
analysis	sự phân tích
anchor	cái neo
anchor bolt	bulông neo
anchor plate	bản neo
anchor sliding	độ trượt trong mấu neo của đầu cốt thép
anchorage length	chiều dài đoạn neo giữ của cốt thép
ancient	xưa, cổ
and	và
anger	sự tức giận, sự giận dữ
angle	góc
angle bar	thép góc
angle beam 	xà góc; thanh giằng góc 
angle brace/angle tie in the scaffold 	thanh giằng góc ở giàn giáo
angrily	tức giận, giận dữ
angry	giận, tức giận
angular test	sự thử kiểm tra, sự kiểm nghiệm ( 
animal	động vật, thú vật
ankle	mắt cá chân
anniversary	ngày, lễ kỉ niệm
announce	báo, thông báo
annoy	chọc tức, làm bực mình; làm phiền, quẫy nhiễu
annoyed	bị khó chịu, bực mình, bị quấy rầy
annoying	chọc tức, làm bực mình; làm phiền, quẫy nhiễu
annual	hàng năm, từng năm
annually	hàng năm, từng năm
another	khác
answer	sự trả lời; trả lời
anti- prefix	chống lại
anticipate	thấy trước, chặn trước, lường trước
antisymmetrical load 	tải trọng phản đối xứng 
anxiety	mối lo âu, sự lo lắng
anxious	lo âu, lo lắng, băn khoăn
anxiously	lo âu, lo lắng, băn khoăn
any	một người, vật nào đó; bất cứ; một chút nào, tí nào
anyone	người nào, bất cứ ai
anything	việc gì, vật gì; bất cứ việc gì, vật gì
anyway	thế nào cũng được, dù sao chăng nữa
anywhere	bất cứ chỗ nào, bất cứ nơi đâu
apart	về một bên, qua một bên
apart from	ngoài… ra
apartment	căn phòng, căn buồng
apex load 	tải trọng ở nút (giàn)
apologize	xin lỗi, tạ lỗi
apparent	rõ ràng, rành mạch; bề ngoài, có vẻ
apparently	nhìn bên ngoài, hình như
appeal	sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
appear	xuất hiện, hiện ra, trình diện
appearance	sự xuất hiện, sự trình diện
apple	quả táo
application	sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm
apply	gắn vào, ghép vào, áp dụng vào
appoint	bổ nhiệm, chỉ định, chọn
appointment	sự bổ nhiệm, người được bổ nhiệm
appreciate	thấy rõ; nhận thức
approach	đến gần, lại gần; sự đến gần, sự lại gần
appropriate	thích hợp, thích đáng
approval	sự tán thành, đồng ý, sự chấp thuận
approval of the contractor's temporary works	phê duyệt các công trình tạm của nhà thầu
approve	tán thành, đồng ý, chấp thuận
approving	tán thành, đồng ý, chấp thuận
approximate	giống với, giống hệt với
approximately	khoảng chừng, độ chừng
april	tháng tư
arbitration test	sự thử nghiệm trọng tải (sự thử nghiệm để phân xử)
arch	cuốn, vòm; cửa cuốn
arch bridge	cầu vòm
architectural concrete 	bê tông trang trí
area	diện tích, bề mặt
area of reinforcement	diện tích cốt thép
argue	chứng tỏ, chỉ rõ
argument	lý lẽ
arise	xuất hiện, nảy ra, nảy sinh ra
arm	cánh tay; vũ trang, trang bị
armed	vũ trang
armoured concrete 	bê tông cốt thép 
arms	vũ khí, binh giới, binh khí
army	quân đội
around	xung quanh, vòng quanh
arrange	sắp xếp, sắp đặt, sửa soạn
arrangement	sự sắp xếp, sắp đặt, sự sửa soạn
arrangement of longitudinales renforcement cut-out	bố trí các điểm cắt đứt cốt thép dọc của dầm
arrangement of reinforcement	bố trí cốt thép
arrest	bắt giữ, sự bắt giữ
arrival	sự đến, sự tới nơi
arrow	tên, mũi tên
art	nghệ thuật, mỹ thuật
article	bài báo, đề mục
articulated girder 	dầm ghép 
artificial	nhân tạo
artificially	nhân tạo
artist	nghệ sĩ
artistic	thuộc nghệ thuật, thuộc mỹ thuật
as	như
as soon as	ngay khi
as well	cũng, cũng như
ashamed	ngượng, xấu hổ
aside	về một bên, sang một bên
aside from	ngoài ra, trừ ra
ask	hỏi
asleep	ngủ, đang ngủ
aspect	vẻ bề ngoài, diện mạo
asphaltic concrete 	bê tông atphan 
assist	giúp, giúp đỡ; tham dự, có mặt
assistance	sự giúp đỡ
assistant	người giúp đỡ, người phụ tá; giúp đỡ, phụ tá
associate	kết giao, liên kết, kết hợp, cho cộng tác
associated with	liên kết với
association	sự kết hợp, sự liên kết
assume	mang, khoác, có, lấy
assumed load 	tải trọng giả định, tải trọng tính toán 
assure	đảm bảo, cam đoan
at first	trực tiếp
at least	ít ra, ít nhất, chí ít
atmosphere	khí quyển
atmospheric corrosion resistant steel	thép chống rỉ do khí quyển
atom	nguyên tử
atrition test	sự thử mài mòn 
attach	gắn, dán, trói, buộc
attached	gắn bó
attached pier	cột chống; cột giả
attack	sự tấn công, sự công kích; tấn công, công kích
attempt	sự cố gắng, sự thử; cố gắng, thử
attempted	cố gắng, thử
attend	dự, có mặt
attention	sự chú ý
attitude	thái độ, quan điểm
attorney	người được ủy quyền
attract	hút; thu hút, hấp dẫn
attraction	sự hút, sức hút
attractive	hút, thu hút, có duyên, lôi cuốn
audience	thính, khan giả
august	tháng tám
aunt	cô, dì
author	tác giả
authority	uy quyền, quyền lực
automatic	tự động
autumn	mùa thu
available	có thể dùng được, có giá trị, hiệu lực
average	trung bình, số trung bình, mức trung bình
average load 	tải trọng trung bình 
avoid	tránh, tránh xa
awake	đánh thức, làm thức dậy
award	phần thưởng; tặng, thưởng
aware	biết, nhận thức, nhận thức thấy
away	xa, xa cách, rời xa, đi xa
awful	oai nghiêm, dễ sợ
awkward	vụng về, lung túng
axial load 	tải trọng hướng trục 
axle load 	tải trọng lên trục 
back	lưng, về phía sau, trở lại
back-shore	[thanh, cọc] chống xiên
background	phía sau; nền
backpropping	sự chống xiên; thanh chống xiên
backward	về phía sau, lùi lại
bacteria	vi khuẩn
bad	xấu, tồi
bad-tempered	xấu tính, dễ nổi cáu
badly	xấu, tồi
bag	bao, túi, cặp xách
bag	bao tải (để dưỡng hộ bê tông)
bag of cement 	bao xi măng
baggage	hành lý
bake	nung, nướng bằng lò
balance	cái cân; làm cho cân bằng, tương xứng
balance beam 	đòn cân; đòn thăng bằng 
balanced load 	tải trọng đối xứng 
balancing load 	tải trọng cân bằng 
ball	quả bóng
ballast concrete 	bê tông đá dăm 
balloon-frame construction	kết cấu khung nhà gỗ nhẹ
ban	cấm, cấm chỉ; sự cấm
band	băng, đai, nẹp
band-over test	sự thử bẻ cong 
bandage	dải băng; băng bó
bank	bờ  , đê
bar	quán bán rượu
bar (reinforcing bar)	thanh cốt thép
bargain	sự mặc cả, sự giao kèo mua bán
barrier	đặt chướng ngại vật
base	cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì
base	nền; móng; bệ
base structure	kết cấu nền móng
basement of tamped (rammed) concrete 	móng (tầng ngầm) làm bằng cách đổ bê tông
baseplate		tấm đệm, tấm lót
basic	cơ bản, cơ sở
basic load 	tải trọng cơ bản 
basically	cơ bản, về cơ bản
basis	nền tảng, cơ sở
bath	sự tắm
bathroom	buồng tắm, nhà vệ sinh
batter	sườn dốc, mái dốc; độ nghiêng mặt ngoài
battery	pin, ắc quy
battle	trận đánh, chiến thuật
bay	gian ; bays: vòng nguyệt quế
be going to	sắp sửa, có ý định
be sick	bị ốm
beach	bãi biển
beak	mỏ chim
beam of constant depth	dầm có chiều cao không đổi
beam reinforced in tension and compression	dầm có cả cốt thép chịu kéo và chịu nén
beam reinforced in tension only	dầm chỉ có cốt thép chịu kéo
bear	mang, cầm, vác, đeo, ôm
bearable load 	tải trọng cho phép 
beard	râu
beat	tiếng đập, sự đập; đánh đập, đấm
beautiful	đẹp
beautifully	tốt đẹp, đáng hài lòng
beauty	vẻ đẹp, cái đẹp; người đẹp
because	bởi vì, vìbecause of prep. vì, do bởi
become	trở thành, trở nên
bed	cái giường
bed load 	trầm tích đáy 
bedding	móng cống
bedroom	phòng ngủ
beef	thịt bò
beer	rượu bia
before	trước, đằng trước
before anchoring	trước khi neo cốt thép dự ứng lực
begin	bắt đầu, khởi đầu
beginning	phần đầu, lúc bắt đầu, lúc khởi đầu
behalf	sự thay mặt
behave	đối xử, ăn ở, cư xử
behind	sau, ở đằng sau
belief	lòng tin, đức tin, sự tin tưởng
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belong	thuộc về, của, thuộc quyền sở hữu
below	ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
bend	chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
bend(ing) test	sự thử uốn 
bending load 	tải trọng uốn 
bending strength 	độ bền uốn
beneath	ở dưới, dưới thấp
benefit	lợi, lợi ích; giúp ích, làm lợi cho
bent	khiếu, sở thích, khuynh hướng
bent-up bar	cốt thép uốn nghiêng lên
beside	bên cạnh, so với
best load 	công suất khi hiệu suất lớn nhất (tuabin) 
bet	đánh cuộc, cá cược; sự đánh cuộc
betting	sự đánh cuộc
between	giữa, ở giữa
beyond	ở xa, phía bên kia
bicycle	xe đạp
bid	đặt giá, trả giá; sự đặt giá, sự trả giá
big	to, lớn
bill	hóa đơn, giấy bạc
bin	thùng, thùng đựng rượu
biology	sinh vật học
bird	chim
birth	sự ra đời, sự sinh đẻ
birthday	ngày sinh, sinh nhật
biscuit	bánh quy
bit	miếng, mảnh
bite	cắn, ngoạm; sự cắn, sự ngoạm
bitter	đắng; đắng cay, chua xót
bitterly	đắng, đắng cay, chua xót
bituminous concrete 	bê tông atphan 
black	đen; màu đen
blade	lưỡi
blame	khiển trách, mắng trách; sự khiển trách, sự mắng trách
blank	trống, để trắng; sự trống rỗng
blank test	sự thử bất kỳ, mẫu thử ngẫu nhiên 
blankly	ngây ra, không có thần
blind	đui, mù
block	khối, tảng ; làm ngăn cản, ngăn chặn
blonde	hoe vàng, mái tóc hoe vàng
blood	máu, huyết; sự tàn sát, chem giết
blow	nở hoa; sự nở hoa
blow test	sự thử sức chịu va đập; sự thử độ bền va đập 
blow-bending test	sự thử uốn va đập 
blue	xanh, màu xanh
board	tấm ván; lát ván, lót ván
boat	tàu, thuyền
body	thân thể, thân xác
boil	sôi, luộc
bomb	quả bom; oánh bom, thả bom
bond beam 	dầm nối 
bonded tendon	cốt thép dự ứng lực có dính bám với bê tông
bonded tendon	cốt thép dự ứng lực có dính bám với bê tông
bone	xương
book	sách; ghi chép
boot	giày ống
border	bờ, mép, vỉa, lề
bore	buồn chán, buồn tẻ
bored pile	cọc khoan nhồi
boring	buồn chán
boring test	sự thử bằng khoan
born: be born	sinh, đẻ
borrow	vay, mượn
boss	ông chủ, thủ trưởng
both	cả hai
bother	làm phiền, quấy rầy, làm bực mình
bottle	chai, lọ
bottom	phần dưới cùng, thấp nhất; cuối, cuối cùng
bottom lateral	thanh giằng chéo ở mọc hạ của dàn
bottom reinforcement	cốt thép bên dưới (của mặt cắt)
bound	nhất định, chắc chắn
bow girder 	dầm cong 
bowl	cái bát
bowstring girder 	giàn biên cong 
box	hộp, thùng
box beam 	dầm hình hộp 
box girder 	dầm hộp 
boy	con trai, thiếu niên
boyfriend	bạn trai
braced girder 	giàn có giằng tăng cứng 
braced member	thanh giằng ngang
bracing	giằng gió
bracing beam 	dầm tăng cứng 
bracket load 	tải trọng lên dầm chìa, tải trọng lên công xôn 
brain	óc não; đầu óc, trí não
brake beam 	đòn hãm, cần hãm 
brake load 	tải trọng hãm 
branch	ngành; nhành cây, nhánh song, ngả đường
brand	nhãn
brave	gan dạ, can đảm
bread	bánh mỳ
break	bẻ gãy, đập vỡ; sự gãy, sự vỡ
break-down test	sự thử đứt; sự thử gãy 
breakfast	bữa điểm tâm, bữa sáng
breaking load 	tải trọng phá hủy 
breaking strength 	giới hạn bền, sức chống phá huỷ
breaking test	sự thử đứt; sự thử gãy 
breast	ngực, vú
breast beam 	tấm tì ngực; (đường sắt) thanh chống va, 
breath	hơi thở, hơi
breathe	hít, thở
breathing	sự hô hấp, sự thở
breed	nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
breeze concrete 	bê tông bụi than cốc 
brick	gạch
brick 	gạch
brick girder 	dầm gạch cốt thép 
brick wall 	tường gạch
bricklayer /brickmason 	thợ nề
bricklayer's hammer (brick hammer) 	búa thợ nề
bricklayer's labourer/builder's labourer 	phụ nề, thợ phụ nề
bricklayer's tools 	các dụng cụ của thợ nề
bridge	cái cầu
bridge beam 	dầm cầu 
bridge test	sự xác định bằng cầu điện trở 
brief	ngắn, gọn, vắn tắt
briefly	ngắn, gọn, vắn tắt, tóm tắt
bright	sáng, sáng chói
brightly	sáng chói, tươi
brilliant	tỏa sáng, rực rỡ, chói lọi
brinell hardness test	sự thử độ cứng brinell 
bring	mang, cầm , xách lại
brittleness test	sự thử độ giòn 
broad	rộng
broad flange beam 	dầm có cánh bản rộng (dầm i, t) 
broadcast	tung ra khắp nơi,truyền rộng rãi; phát thanh, quảng bá
broadly	rộng, rộng rãi
broken	bị gãy, bị vỡ
broken concrete 	bê tông dăm, bê tông vỡ 
brother	anh, em trai
brown	nâu, màu nâu
brush	bàn chải; chải, quét
bubble	bong bóng, bọt, tăm
buckling load 	tải trọng uốn dọc tới hạn, tải trọng mất ổn định dọc 
buckling strength 	cường độ uốn dọc
budget	ngân sách
buffer beam 	thanh chống va, thanh giảm chấn (tàu hỏa) 
buiding site 	công trường xây dựng
build	xây dựng
build-up girder 	dầm ghép 
builder's hoist 	máy nâng dùng trong xây dựng
building	sự xây dựng, công trình xây dựng; tòa nhà binđinh
building site latrine 	nhà vệ sinh tại công trường xây dựng
built up section	thép hình tổ hợp
bullet	đạn
bump test	sự thử uốn 
bumper beam 	thanh chống va, thanh giảm chấn (tàu hỏa), dầm đệm 
bunch	búi, chùm, bó, cụm, buồng; bầy, đàn
bunched beam 	chùm nhóm 
buried concrete 	bê tông bị phủ đất 
burn	đốt, đốt cháy, thắp, nung, thiêu
burnt	bị đốt, bị cháy, khê; rám nắng, sạm
burst	nổ, nổ tung ; háo hức
bursting concrete stress	ứng suất vỡ tung của bê tông
bury	chôn cất, mai táng
bus	xe buýt
bush	bụi cây, bụi rậm
bush-hammered concrete 	bê tông được đàn bằng búa
business	việc buôn bán, thương mại, kinh doanh
busy	bận, bận rộn
but	nhưng
butter	bơ
button	cái nút, cái khuy, cúc
buy	mua
buyer	người mua
by	bởi, bằng
by means of	bằng phương tiện
bye exclamation	tạm biệt
cabinet	tủ có nhiều ngăn đựng đồ
cable	dây cáp
cable disposition	bố trí cốt thép dự ứng lực
cake	bánh ngọt
calculate	tính toán
calculation	sự tính toán
calibration test	sự thử định chuẩn 
call	gọi; tiếng kêu, tiếng gọi
calm	yên lặng, làm dịu đi; sự yên lặng, sự êm ả
calmly	yên lặng, êm ả; bình tĩnh, điềm tĩnh
calorimeter test	sự thử bằng nhiệt lượng kế; sự đo nhiệt lượng 
camber beam 	dầm cong, dầm vồng 
camera	máy ảnh
camp	trại, chỗ cắm trại; cắm trại, hạ trại
campaign	chiến dịch, cuộc vận động
camping	sự cắm trại
can modal	có thể; nhà tù, nhà giam, bình, ca đựng
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candidate	người ứng cử, thí sinh, người dự thi
candy	kẹo
cannot	không thể
cantilever arched girder 	dầm vòm đỡ; giàn vòm công xôn 
cantilever beam 	dầm công xôn, dầm chìa 
cap	mũ lưỡi trai, mũ vải
capable	có tài, có năng lực; có khả năng, cả gan
capacitive load 	tải dung tính (điện) 
capacity	năng lực, khả năng tiếp thu, năng suất
capital	thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
capping beam 	dầm mũ dọc 
captain	người cầm đầu, người chỉ huy, thủ lĩnh
capture	bắt giữ, bắt; sự bắt giữ, sự bị bắt
car	xe hơi
carbon penetration test	sự thử độ thấm cacbon 
carbon steel	thép các bon (thép than)
carbon test	sự thử hàm lượng cacbon 
carbonization test	sự thử cacbon hóa; sự thử tính oxi hóa 
carcase (cacass, farbric) [ house construction, carcassing]]	khung sườn (kết cấu nhà)
card	thẻ, thiếp
cardboard	bìa cứng, các tông
care	sự chăm sóc, chăm nom; chăm sóc
career	nghề nghiệp, sự nghiệp
careful	cẩn thận, cẩn trọng, biết giữ gìn
carefully	cẩn thận, chu đáo
careless	sơ suất, cầu thả
carpet	tấm thảm, thảm
carrot	củ cà rốt
carry	mang, vác, khuân chở
case	vỏ, ngăn, túi
cased beam 	dầm thép bọc bê tông 
cash	tiền, tiền mặt
cast	quăng, ném, thả, đánh gục; sự quăng, sự ném
cast concrete 	bê tông đúc 
cast in many stage phrases	đổ bê tông theo nhiều giai đoạn
cast in place	đúc bê tông tại chỗ
cast in situ place concrete	bê tông đúc tại chỗ
cast in situ structure (slab, beam, column)	kết cấu đúc bê tông tại chỗ (dầm, bản, cột)
cast steel	thép đúc
cast,(casting)	đổ bê tông (sự đổ bê tông)
cast-in-place bored pile	cọc khoan nhồi đúc tại chỗ
cast-in-place concrete caisson	giếng chìm bê tông đúc tại chỗ
cast-in-place concrete pile	cọc đúc bê tông tại chỗ
cast-in-place, posttensioned bridge	cầu dự ứng lực kéo sau đúc bê tông tại chỗ
cast-in-situ flat place slab	bản mặt cầu đúc bê tông tại chỗ
castellated beam 	dầm thủng 
castelled section	thép hình bụng rỗng
casting schedule	thời gian biểu của việc đổ bê tông
castle	thành trì, thành quách
cat	con mèo
catch	bắt lấy, nắm lấy, tóm lấy, chộp lấy
category	hạng, loại; phạm trù
catenary arch	cuốn có dạng xích treo
cathode beam 	chùm tia catôt, chum tia điện tử 
caupling	nối cốt thép dự ứng lực
cause	nguyên nhân, nguyên do; gây ra, gây nên
cease	dừng, ngừng, ngớt, thôi, hết, tạnh
ceiling	trần nhà
celebrate	kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
celebration	sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
cell	ô, ngăn
cellar window (basement window)	các bậc cầu thang bên ngoài tầng hầm
cellphone	điện thoại di động
cellular concrete 	bê tông tổ ong 
cellular girder 	dầm rỗng lòng 
cement 	xi măng
cement concrete 	bê tông xi măng 
cent	đồng xu
center spiral	lõi hình xoắn ốc trong bó sợi thép
centimetre	xen ti met
central	trung tâm, ở giữa, trung ương
centre	điểm giữa, trung tâm, trung ương
centre point load 	tải trọng tập trung 
centric load 	tải trọng chính tâm, tải trọng dọc trục 
centrifugal load 	tải trọng ly tâm 
centrifuge test	sự thử ly tâm; sự thử bằng máy ly tâm 
century	thế kỷ
ceremony	nghi thức, nghi lễ
certain	chắc chắn
certainly	chắc chắn, nhất định
certificate	giấy chứng nhận, bằng, chứng chỉ
chain	dây, xích; xính lại, trói lại
chair	ghế
chairman, chairwoman	chủ tịch, chủ tọa
challenge	sự thử thách, sự thách thức; thách thức, thử thách
chamber	buồng, phòng, buồng ngủ
chance	sự may mắn
change	thay đổi, sự thay đổi, sự biến đổi
changes in activity schedule 	thay đổi lịch tiến độ
changing load 	tải trọng thay đổi 
channel	kênh , eo biển
channel section	thép hình chữ u
chapter	chương
character	tính cách, đặc tính, nhân vật
characteristic	riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
characteristic strength 	độ bền đặc trưng
charge	nhiệm vụ, bổn phận, trách nhiệm; giao nhiệm vụ, giao việc
charity	lòng từ thiện, lòng nhân đức; sự bố thí
chart	đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase	săn bắt; sự săn bắt
chat	nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap	rẻ
cheaply	rẻ, rẻ tiền
cheat	lừa, lừa đảo; trò lừa đảo, trò gian lận
check	kiểm tra; sự kiểm tra
check test	sự thử kiểm tra 
checking concrete quality	kiểm tra chất lượng bê tông
cheek	má
cheerful	vui mừng, phấn khởi, hồ hởi
cheerfully	vui vẻ, phấn khởi
cheese	pho mát
chemical	thuộc hóa học; chất hóa học, hóa chất
chemist	nhà hóa học
chemist’s	hóa học, môn hóa học, ngành hóa học
cheque	séc
chest	tủ, rương, hòm
chew	nhai, ngẫm nghĩ
chicken	gà, gà con, thịt gà
chief	trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, xếp
child	đứa bé, đứa trẻ
chillid steel	thép đã tôi
chimney 	ống khói (lò sưởi)
chimney bond 	cách xây ống khói 
chin	cằm
chip	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate	sô cô la
choice	sự lựa chọn
choose	chọn, lựa chọn
chop	chặt, đốn, chẻ
chopped beam 	tia đứt đoạn 
church	nhà thờ
chuting concrete 	bê tông lỏng 
chỉ huycomment	lời bình luận, lời chú giải; bình luận, phê bình, chú thích,
cigarette	điếu thuốc lá
cinder concrete 	bê tông xỉ 
circle	đường tròn, hình tròn
circulating load 	tải trọng tuần hoàn 
circumstance	hoàn cảnh, trường hợp, tình huống
citizen	người thành thị
city	thành phố
civil	công dân
claim	đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
clarke beam 	dầm ghép bằng gỗ 
class	lớp học
classic	cổ điển, kinh điển
classroom	lớp học, phòng học
clean	sạch, sạch sẽ;
clearly	rõ ràng, sáng sủa
clerk	thư ký, linh mục, mục sư
clever	lanh lợi, thông minh. tài giỏi, khéo léo
click	làm thành tiếng lách cách; tiếng lách cách, cú nhắp
client	khách hàng
climate	khí hậu, thời tiết
climb	leo, trèo
climbing	sự leo trèo
clock	đồng hồ
close	đóng kín, chật chội, che đậy
closed	bảo thủ, không cởi mở, khép kín
closely	chặt chẽ, kỹ lưỡng, tỉ mỉ
closet	buồng, phòng để đồ, phòng kho
closure joint	mối nối hợp long (đoạn hợp long)
closure test	sự thử nén hết cỡ (lò xo)
cloth	vải, khăn trải bàn, áo thầy tu
clothes	quần áo
clothing	quần áo, y phục
cloud	mây, đám mây
club	câu lạc bộ; gậy, dùi cui
coach	huấn luyện viên
coal	than đá
coast	sự lao dốc; bờ biển
coat	áo choàng
coating	vật liệu phủ để bảo vệ cốt thép dưl khỏi rỉ hoặc giảm ma sát khi căng 
cobble concrete 	bê tông cuội sỏi 
code	mật mã, luật, điều lệ
